Country,Deposit ID,Deposit Name,Deposit Type,Deposit Subtype,Resource Range,Grade Range (Teor)
Brazil,4908,Monsenhor Bastos,2,2,≥1000 - <2500,≥0.10 - <0.20
Brazil,1342,Olinda,8,7,≥25000 - <50000,≥0.01 - <0.05
Brazil,1343,Pitinga,4,3,≥100000 - <1000000,≥0.01 - <0.05
Brazil,82,Pocos De Caldas - Cercado,4,3,≥10000 - <25000,≥0.05 - <0.10
Brazil,4348,Pocos De Caldas-Agostino,4,3,≥2500 - <5000,≥0.05 - <0.10
Brazil,1796,Rio Cristallino,10,8,≥100000 - <1000000,≥0.01 - <0.05
Brazil,1773,Rio Preto,3,3,≥300 - <1000,≥0.05 - <0.10
Brazil,1822,Salobo,5,5,≥50000 - <100000,>0 - <0.01
Brazil,83,Serra Das Gaivotas,5,5,≥5000 - <10000,≥0.01 - <0.05
Brazil,84,Serrotes Baixos,3,5,≥1000 - <2500,≥0.05 - <0.10
Brazil,1823,Sossego-Sequeirinho,5,5,≥10000 - <25000,>0 - <0.01
Brazil,5207,Umbu,2,2,≥300 - <1000,≥0.20 - <0.50
Bulgaria,5901,Ablanovo,3,3,≥25 - <300,≥0.05 - <0.10
Bulgaria,5902,Belevren,3,5,≥25 - <300,≥0.05 - <0.10
Bulgaria,4466,Beli Iskar,4,4,≥25 - <300,≥0.10 - <0.20
Bulgaria,1126,Belosem,10,8,≥300 - <1000,≥0.01 - <0.05
Bulgaria,85,Beslet,7,5,≥25 - <300,≥0.05 - <0.10
Bulgaria,86,Biala Voda,4,4,≥1000 - <2500,≥0.05 - <0.10
Bulgaria,5903,Bolyarovo,10,10,≥300 - <1000,≥0.01 - <0.05
Bulgaria,4497,Bortshe,4,5,≥300 - <1000,≥0.05 - <0.10
Bulgaria,5904,Chakaloto,4,4,>0 - <25,≥0.05 - <0.10
Bulgaria,7108,Debar,10,10,≥1000 - <2500,≥0.01 - <0.05
Bulgaria,1345,Dobroselets,10,10,≥300 - <1000,≥0.01 - <0.05
Bulgaria,5906,Domuz Dere,4,4,>0 - <25,≥0.05 - <0.10
Bulgaria,88,Dospat,10,5,≥300 - <1000,≥0.05 - <0.10
Bulgaria,89,Eleshnitza District,10,8,≥5000 - <10000,≥0.05 - <0.10
Bulgaria,5907,Faktzia,3,5,≥25 - <300,≥0.05 - <0.10
Bulgaria,4653,Gabra,10,5,≥25 - <300,≥0.10 - <0.20
Bulgaria,5908,Golyama Chatalka,3,3,≥25 - <300,≥0.05 - <0.10
Bulgaria,4666,Goten 1,4,5,≥300 - <1000,≥0.05 - <0.10
Bulgaria,4667,Goten 2,4,4,≥300 - <1000,≥0.05 - <0.10
Bulgaria,91,Gradevo,10,8,≥300 - <1000,≥0.05 - <0.10
Bulgaria,92,Igralishte,7,5,>0 - <25,≥0.05 - <0.10
Bulgaria,1127,Izgrev-Tshukarovo,10,10,≥300 - <1000,≥0.01 - <0.05
Bulgaria,4733,Kalatsh-Burun,7,5,>0 - <25,≥0.01 - <0.05
Bulgaria,5909,Kaloyanovo,10,8,≥300 - <1000,≥0.01 - <0.05
Bulgaria,4740,Kamiko,4,5,≥300 - <1000,≥0.05 - <0.10
Bulgaria,4741,Kara Tepe,7,5,>0 - <25,≥0.01 - <0.05
Bulgaria,5910,Karakyutyuk,3,3,≥25 - <300,≥0.05 - <0.10
Bulgaria,5911,Kashla Dere,4,4,>0 - <25,≥0.05 - <0.10
Bulgaria,5912,Kenana,10,10,≥300 - <1000,≥0.01 - <0.05
Bulgaria,5913,Kichesta,4,4,>0 - <25,≥0.05 - <0.10
Bulgaria,1128,Kostenetz,4,4,≥25 - <300,≥0.05 - <0.10
Bulgaria,4795,Kremikovtzi,4,5,≥300 - <1000,≥0.05 - <0.10
Bulgaria,5914,Krivata Cheshma,4,4,>0 - <25,≥0.05 - <0.10
Bulgaria,93,Kurrilo-iskra,10,5,≥300 - <1000,≥0.50 - <1.00
Bulgaria,4857,Madretz,10,8,≥25 - <300,≥0.01 - <0.05
Bulgaria,1845,Manole,10,8,≥300 - <1000,≥0.01 - <0.05
Bulgaria,4876,Maritsa,3,5,≥300 - <1000,≥0.05 - <0.10
Bulgaria,7109,Mecdinen,10,10,≥300 - <1000,≥0.01 - <0.05
Bulgaria,94,Melnik,10,8,≥300 - <1000,≥0.05 - <0.10
Bulgaria,5915,Mezhdinno,10,10,≥300 - <1000,≥0.01 - <0.05
Bulgaria,95,Momino,10,8,≥1000 - <2500,≥0.01 - <0.05
Bulgaria,5916,Mostov Dol,5,3,>0 - <25,≥0.10 - <0.20
Bulgaria,1244,Narretchen,3,3,≥300 - <1000,≥0.05 - <0.10
Bulgaria,1131,Navyasen,3,5,≥25 - <300,≥0.01 - <0.05
Bulgaria,1133,Okop,10,8,≥300 - <1000,≥0.01 - <0.05
Bulgaria,4963,Orlov Dol,10,8,≥300 - <1000,≥0.01 - <0.05
Bulgaria,4964,Orlov Dol Iztak,10,8,≥25 - <300,≥0.01 - <0.05
Bulgaria,5917,Osenov Rat,4,4,>0 - <25,≥0.05 - <0.10
Bulgaria,4974,Partisanska Poliana,4,4,>0 - <25,≥0.10 - <0.20
Bulgaria,4999,Planinetz,3,3,>0 - <25,≥0.10 - <0.20
