Country,Probabilidade,Disponibilidade,Atributo,Urânio (Ton.)
South Africa,RAR,in Situ,Entre 130 e 260 USD,26900
Spain,RAR,in Situ,<USD 40/kgU,9800
Spain,RAR,in Situ,Entre 40 e 80 USD,13200
Spain,RAR,in Situ,Entre 80 e 130 USD,0
Spain,RAR,in Situ,Entre 130 e 260 USD,0
Sweden,RAR,in Situ,<USD 40/kgU,0
Sweden,RAR,in Situ,Entre 40 e 80 USD,0
Sweden,RAR,in Situ,Entre 80 e 130 USD,6500
Sweden,RAR,in Situ,Entre 130 e 260 USD,0
Tanzania,RAR,in Situ,<USD 40/kgU,0
Tanzania,RAR,in Situ,Entre 40 e 80 USD,47900
Tanzania,RAR,in Situ,Entre 80 e 130 USD,1700
Tanzania,RAR,in Situ,Entre 130 e 260 USD,0
Turkey,RAR,in Situ,<USD 40/kgU,0
Turkey,RAR,in Situ,Entre 40 e 80 USD,0
Turkey,RAR,in Situ,Entre 80 e 130 USD,0
Turkey,RAR,in Situ,Entre 130 e 260 USD,0
Ukraine,RAR,in Situ,<USD 40/kgU,0
Ukraine,RAR,in Situ,Entre 40 e 80 USD,51800
Ukraine,RAR,in Situ,Entre 80 e 130 USD,31900
Ukraine,RAR,in Situ,Entre 130 e 260 USD,53500
United States,RAR,in Situ,<USD 40/kgU,0
United States,RAR,in Situ,Entre 40 e 80 USD,12000
United States,RAR,in Situ,Entre 80 e 130 USD,67200
United States,RAR,in Situ,Entre 130 e 260 USD,70300
Uzbekistan,RAR,in Situ,<USD 40/kgU,34100
Uzbekistan,RAR,in Situ,Entre 40 e 80 USD,0
Uzbekistan,RAR,in Situ,Entre 80 e 130 USD,27700
Uzbekistan,RAR,in Situ,Entre 130 e 260 USD,0
Viet Nam,RAR,in Situ,<USD 40/kgU,0
Viet Nam,RAR,in Situ,Entre 40 e 80 USD,0
Viet Nam,RAR,in Situ,Entre 80 e 130 USD,0
Viet Nam,RAR,in Situ,Entre 130 e 260 USD,1200
Zambia,RAR,in Situ,<USD 40/kgU,0
Zambia,RAR,in Situ,Entre 40 e 80 USD,0
Zambia,RAR,in Situ,Entre 80 e 130 USD,14100
Zambia,RAR,in Situ,Entre 130 e 260 USD,0
Zimbabwe,RAR,in Situ,<USD 40/kgU,0
Zimbabwe,RAR,in Situ,Entre 40 e 80 USD,0
Zimbabwe,RAR,in Situ,Entre 80 e 130 USD,0
Zimbabwe,RAR,in Situ,Entre 130 e 260 USD,1800
Algeria,RAR,Recoverable,<USD 40/kgU,0
Algeria,RAR,Recoverable,Entre 40 e 80 USD,0
