Country,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
FRANCE,0.0,0.0,0.0,0.0,0.0,0.0,250.951633927086,348.6747567901134,442.6975204397388,446.56607779920455,485.4198495399263,486.26084027024496,473.141384877274,772.5340848707144,1083.7006550886158,1386.289119857267,2420.034925564955,3637.789503066364,3915.31644407152,4515.783825519037,5546.838460889706,6345.7796546924255,7517.279742026309,8327.153815323172,8845.204105199462,8845.204105199462,9447.353468107618,9611.346660519754,9782.90876950476,9723.198427652136,9942.697008265304,9610.842066081565,9851.870009390888,10122.164430115305,10122.164430115305,10366.051741907711,10609.939053700124,10609.939053700124,10625.076886845858,10640.214719991594,10640.214719991594,10640.214719991594,10640.214719991594,10640.214719991594,10640.214719991594,10640.214719991594,10640.214719991594,10618.348961003308,10618.348961003308,10618.348961003308,10618.348961003308,10618.348961003308,10618.348961003308,10618.348961003308,10618.348961003308,10618.348961003308,10618.348961003308,10322.320223931143,10322.320223931143,10322.320223931143
GERMANY,0.0,0.0,0.0,0.0,0.0,0.0,58.02836039198704,270.63081701654244,361.4578158909569,355.7390789247901,548.4941543138252,536.5520859433004,1005.9931116071724,1146.10216727826,1315.9822948026278,1461.4736911477546,1451.3818023839308,1450.036217215421,1653.3877758064712,1868.6814027680464,2717.5774459516942,2713.036096007974,3177.094780997806,3176.253790267488,3617.77392368478,3841.309259803478,3574.2106038542743,3574.715198292465,3593.2169943594754,3599.103929471706,3607.85023306702,3527.451519248557,3538.3843987426994,3540.402776495464,3542.7575505403565,3552.6812411581163,3579.761142674377,3579.761142674377,3579.761142674377,3579.761142674377,3472.1143291935896,3478.169462451884,3420.982092790216,3436.288124082015,3443.016049924564,3444.6980313852014,3446.380012845839,3446.380012845839,2029.8152266971,2029.8152266971,2030.8244155734824,2030.8244155734824,1816.371779342226,1816.371779342226,1600.4053597963962,1600.4053597963962,1364.591559015046,1364.591559015046,682.0434822884274,682.0434822884274
HUNGARY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.792247977225903,68.96123988612952,137.92247977225904,138.7634705025777,208.56570111902585,279.2089224657927,279.2089224657927,279.2089224657927,287.61882976897925,276.6859502748367,290.81459454419013,290.31000010599894,290.81459454419013,290.81459454419013,290.81459454419013,290.81459454419013,290.81459454419013,290.81459454419013,290.81459454419013,295.1877463418471,295.1877463418471,295.1877463418471,295.1877463418471,295.1877463418471,295.1877463418471,307.6344091505632,312.68035353247507,317.726297914387,317.726297914387,317.726297914387,317.726297914387,317.726297914387,317.726297914387,317.726297914387,317.726297914387,317.726297914387,319.91287381321547,319.91287381321547,319.91287381321547,322.2676478581077,322.2676478581077,322.2676478581077
INDIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.64322134676682,95.03195252600776,93.68636735749791,101.9280765146207,105.2920394358953,105.2920394358953,105.2920394358953,105.2920394358953,139.9408575250238,144.65040561480828,139.9408575250238,135.23130943523935,163.99319241213726,155.2468888168233,194.10066055754504,194.10066055754504,194.10066055754504,194.10066055754504,187.37273471499583,222.69434538837925,228.07668606241864,229.92686566911965,260.70712639878235,293.67396302727354,278.8725261736652,278.8725261736652,287.2824334768518,287.2824334768518,421.8409503278362,421.8409503278362,420.9999595975176,428.4006780243217,428.4006780243217,510.8177695955496,609.0454868967684,643.526106839833,643.526106839833,678.0067267828978,711.9827522877714,745.9587777926449,745.9587777926449,900.1964777330859,900.1964777330859,900.1964777330859,1056.9571498644827,1059.4801220554386,1059.4801220554386,1059.4801220554386,1059.4801220554386,1059.4801220554386,1108.4257825599843,1057.966338740865
"IRAN, ISLAMIC REPUBLIC OF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344,153.90130364831344
ITALY,0.0,0.0,0.0,0.0,0.0,0.0,69.12943803219325,96.8821321327088,96.8821321327088,92.0043858968606,92.5089803350518,94.6955562338803,92.67717848111552,94.86375437994404,187.0363384228684,187.0363384228684,187.0363384228684,236.15019707347767,235.98199892741397,216.3028158379575,214.116239939129,214.116239939129,214.116239939129,214.116239939129,188.3819235913782,188.3819235913782,188.3819235913782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JAPAN,0.0,0.0,0.0,0.0,0.0,57.35556780773212,215.63002325370255,219.1621843210409,303.26125735290617,495.3435401576865,832.4126248694024,1052.5839980668256,1196.057016659188,1403.7817270478952,2069.6781873142045,2420.875916295274,2509.179942978732,2789.734450613035,2789.734450613035,3195.260180772689,3647.713193684124,3971.494624856805,4338.502979567866,4517.297608833611,4743.524115289329,4926.019103768476,5191.772174549171,5380.65869257874,5758.768124930006,6396.407296657609,6664.851537775323,6664.851537775323,7296.940170682822,7296.771972536758,7296.771972536758,7273.728826526027,7273.728826526027,7407.614550792757,7407.614550792757,7407.614550792757,7606.2565612940225,8005.054365611128,8004.045176734745,7985.038786229544,7952.071949601052,8097.395147800115,7875.205396849928,7894.211787355129,7174.491920348426,7174.491920348426,6867.19390748999,6867.19390748999,6514.314197048284,6423.823594465996,6423.823594465996,5872.806467961215,5065.9599612935,5065.9599612935,1595.527613560548,1857.9167214199676
KAZAKHSTAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.70674971860362,11.773870224461138,10.764681348078756,8.409907303186527,8.746303595313988,8.746303595313988,8.746303595313988,8.746303595313988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KOREA, REPUBLIC OF",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.34997106537044,94.86375437994404,94.86375437994404,94.86375437994404,199.14660493945692,199.14660493945692,301.0746814540777,470.4502145402544,602.990353638474,904.9060258228704,904.9060258228704,1059.6483202015024,1214.3906145801343,1214.3906145801343,1214.3906145801343,1214.3906145801343,1200.5983666029083,1373.33786261036,1533.9670921012223,1643.295887042647,1914.0949022052532,2023.4236971466785,2184.89391736786,2184.89391736786,2512.2075096078797,2672.836739098742,2665.940615110129,2827.4108353313104,2935.730441396353,2935.2258469581616,2968.192683586653,2977.9481760583494,3144.9689350996337,3153.883436841012,3488.261351215708,3491.4571159909187,3490.6161252606,3655.450308403056,3648.8905807065694,3642.162654864021,3536.870615428126,3770.497840310648,3655.61850654912,3645.69481593136,3880.835824128455,3880.1630315442
LITHUANIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.11344156794812,232.11344156794812,232.11344156794812,504.5944381911916,464.2268831358963,464.2268831358963,464.2268831358963,464.2268831358963,464.2268831358963,398.62960617104136,398.62960617104136,398.62960617104136,398.62960617104136,398.62960617104136,398.62960617104136,398.62960617104136,398.62960617104136,398.62960617104136,398.62960617104136,398.62960617104136,398.62960617104136,199.31480308552068,199.31480308552068,199.31480308552068,199.31480308552068,199.31480308552068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEXICO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.00158752567977,107.64681348078754,107.64681348078754,110.00158752567977,110.00158752567977,105.62843572802278,211.2568714560456,214.28443808519276,208.9020974111533,220.33957134348705,229.4222712309285,216.9756084222124,216.9756084222124,228.74947864667357,228.74947864667357,228.74947864667357,228.74947864667357,228.74947864667357,228.74947864667357,218.6575898828497,218.6575898828497,218.6575898828497,218.6575898828497,257.34316347750774,223.70353426476163,223.70353426476163,242.205330331772,261.0435226909098,261.0435226909098,261.0435226909098,261.0435226909098,261.0435226909098,261.0435226909098,261.0435226909098,261.0435226909098
"NETHERLANDS, KINGDOM OF THE",0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.08269988744145,9.08269988744145,83.76267673973781,88.80862112164972,83.76267673973781,84.267271177929,84.267271177929,83.42628044761035,83.42628044761035,83.76267673973781,83.76267673973781,84.60366747005646,84.7718656161202,85.27646005431139,85.44465820037512,85.27646005431139,85.27646005431139,85.44465820037512,85.78105449250258,85.78105449250258,85.78105449250258,85.27646005431139,85.78105449250258,85.78105449250258,85.78105449250258,85.78105449250258,9.25089803350518,0.0,75.52096758261501,75.52096758261501,75.52096758261501,75.68916572867874,75.68916572867874,75.68916572867874,75.68916572867874,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811,81.07150640271811
