Country,Uranium Required [T],Year
Czech Republic,706,December 2021
Egypt,0,December 2021
Finland,421,December 2021
France,8233,December 2021
Germany,521,December 2021
Hungary,320,December 2021
India,977,December 2021
Iran,153,December 2021
Japan,1396,December 2021
Jordan,0,December 2021
Kazakhstan,0,December 2021
Korea RO (South),4270,December 2021
Lithuania,0,December 2021
Mexico,226,December 2021
Netherlands,69,December 2021
Pakistan,787,December 2021
Poland,0,December 2021
Romania,185,December 2021
Russia,5925,December 2021
Saudi Arabia,0,December 2021
Slovakia,359,December 2021
Slovenia,127,December 2021
South Africa,277,December 2021
Spain,1221,December 2021
Sweden,914,December 2021
Switzerland,412,December 2021
Thailand,0,December 2021
Turkey,0,December 2021
Ukraine,1876,December 2021
UAE,907,December 2021
United Kingdom,1259,December 2021
USA,17587,December 2021
Uzbekistan,0,December 2021
Argentina,167,March 2022
Armenia,50,March 2022
Bangladesh,0,March 2022
Belarus,179,March 2022
Belgium,790,March 2022
Brazil,340,March 2022
Bulgaria,322,March 2022
Canada,1492,March 2022
China,9563,March 2022
Czech Republic,706,March 2022
Egypt,0,March 2022
Finland,421,March 2022
France,8233,March 2022
Germany,521,March 2022
Hungary,320,March 2022
India,977,March 2022
Iran,153,March 2022
Japan,1396,March 2022
Jordan,0,March 2022
Kazakhstan,0,March 2022
Korea RO (South),4270,March 2022
Lithuania,0,March 2022
Mexico,226,March 2022
Netherlands,69,March 2022
Pakistan,787,March 2022
Poland,0,March 2022
Romania,185,March 2022
Russia,5925,March 2022
Saudi Arabia,0,March 2022
Slovakia,359,March 2022
Slovenia,127,March 2022
South Africa,277,March 2022
Spain,1221,March 2022
Sweden,914,March 2022
Switzerland,412,March 2022
Thailand,0,March 2022
Turkey,0,March 2022
Ukraine,1876,March 2022
UAE,907,March 2022
United Kingdom,1259,March 2022
USA,17587,March 2022
Uzbekistan,0,March 2022
Argentina,167,July 2022
Armenia,50,July 2022
Bangladesh,0,July 2022
Belarus,179,July 2022
Belgium,790,July 2022
Brazil,340,July 2022
Bulgaria,322,July 2022
Canada,1492,July 2022
China,9563,July 2022
Czech Republic,706,July 2022
Egypt,0,July 2022
Finland,421,July 2022
France,8233,July 2022
Germany,521,July 2022
Hungary,320,July 2022
India,977,July 2022
Iran,153,July 2022
Japan,1396,July 2022
Jordan,0,July 2022
Kazakhstan,0,July 2022
Korea RO (South),4270,July 2022
Lithuania,0,July 2022
Mexico,226,July 2022
Netherlands,69,July 2022
Pakistan,787,July 2022
Poland,0,July 2022
Romania,185,July 2022
Russia,5925,July 2022
Saudi Arabia,0,July 2022
Slovakia,359,July 2022
Slovenia,127,July 2022
South Africa,277,July 2022
Spain,1221,July 2022
Sweden,914,July 2022
Switzerland,412,July 2022
Thailand,0,July 2022
Turkey,0,July 2022
Ukraine,1876,July 2022
UAE,907,July 2022
United Kingdom,1259,July 2022
USA,17587,July 2022
Uzbekistan,0,July 2022
Argentina,195,August 2018
Armenia,77,August 2018
Bangladesh,0,August 2018
Belarus,0,August 2018
Belgium,987,August 2018
Brazil,321,August 2018
Bulgaria,327,August 2018
Canada,1592,August 2018
Chile,0,August 2018
China,8289,August 2018
Czech Republic,649,August 2018
Egypt,0,August 2018
Finland,494,August 2018
France,9502,August 2018
Germany,1480,August 2018
Hungary,349,August 2018
India,843,August 2018
Indonesia,0,August 2018
Iran,157,August 2018
Israel,0,August 2018
Italy,0,August 2018
Japan,662,August 2018
Jordan,0,August 2018
Kazakhstan,0,August 2018
Korea DPR (North),0,August 2018
Korea RO (South),4730,August 2018
Lithuania,0,August 2018
Malaysia,0,August 2018
Mexico,248,August 2018
Netherlands,82,August 2018
Pakistan,217,August 2018
Poland,0,August 2018
Romania,183,August 2018
Russia,5380,August 2018
Saudi Arabia,0,August 2018
Slovakia,651,August 2018
Slovenia,141,August 2018
South Africa,279,August 2018
Spain,1275,August 2018
Sweden,1188,August 2018
Switzerland,497,August 2018
Thailand,0,August 2018
Turkey,0,August 2018
Ukraine ,1944,August 2018
UAE,627,August 2018
United Kingdom,1772,August 2018
USA,18996,August 2018
Vietnam,0,August 2018
Argentina,195,April 2019
Armenia,77,April 2019
Bangladesh,0,April 2019
Belarus,0,April 2019
Belgium,987,April 2019
Brazil,321,April 2019
Bulgaria,327,April 2019
Canada,1592,April 2019
China,8289,April 2019
Czech Republic,649,April 2019
Egypt,0,April 2019
Finland,494,April 2019
France,9502,April 2019
Germany,1480,April 2019
Hungary,349,April 2019
India,843,April 2019
Iran,157,April 2019
Israel,0,April 2019
Japan,662,April 2019
