Country,Probabilidade,Disponibilidade,Preço,Urânio (Ton.)
Guyana,RAR,in Situ,<USD 130/kgU,0
Guyana,RAR,in Situ,<USD 260/kgU,1300
Guyana,Inferred,in Situ,<USD 40/kgU,0
Guyana,Inferred,in Situ,<USD 80/kgU,0
Guyana,Inferred,in Situ,<USD 130/kgU,0
Guyana,Inferred,in Situ,<USD 260/kgU,2900
Hungary,Inferred,Recoverable,<USD 40/kgU,0
Hungary,Inferred,Recoverable,<USD 80/kgU,0
Hungary,Inferred,Recoverable,<USD 130/kgU,0
Hungary,Inferred,Recoverable,<USD 260/kgU,8000
Hungary,Inferred,in Situ,<USD 40/kgU,0
Hungary,Inferred,in Situ,<USD 80/kgU,0
Hungary,Inferred,in Situ,<USD 130/kgU,0
Hungary,Inferred,in Situ,<USD 260/kgU,22200
India,RAR,in Situ,<USD 40/kgU,0
India,RAR,in Situ,<USD 80/kgU,0
India,RAR,in Situ,<USD 130/kgU,0
India,RAR,in Situ,<USD 260/kgU,282400
India,Inferred,Recoverable,<USD 40/kgU,0
India,Inferred,Recoverable,<USD 80/kgU,0
India,Inferred,Recoverable,<USD 130/kgU,0
India,Inferred,Recoverable,<USD 260/kgU,8000
India,Inferred,in Situ,<USD 40/kgU,0
India,Inferred,in Situ,<USD 80/kgU,0
India,Inferred,in Situ,<USD 130/kgU,0
India,Inferred,in Situ,<USD 260/kgU,10500
India,RAR,Recoverable,<USD 40/kgU,0
India,RAR,Recoverable,<USD 80/kgU,0
India,RAR,Recoverable,<USD 130/kgU,0
India,RAR,Recoverable,<USD 260/kgU,213000
Indonesia,RAR,in Situ,<USD 40/kgU,0
Indonesia,RAR,in Situ,<USD 80/kgU,2000
Indonesia,RAR,in Situ,<USD 130/kgU,7400
Indonesia,RAR,in Situ,<USD 260/kgU,7400
Indonesia,Inferred,in Situ,<USD 40/kgU,0
Indonesia,Inferred,in Situ,<USD 80/kgU,0
Indonesia,Inferred,in Situ,<USD 130/kgU,4100
Indonesia,Inferred,in Situ,<USD 260/kgU,4100
Indonesia,RAR,Recoverable,<USD 40/kgU,0
Indonesia,RAR,Recoverable,<USD 80/kgU,1500
Indonesia,RAR,Recoverable,<USD 130/kgU,5500
Indonesia,RAR,Recoverable,<USD 260/kgU,5500
Indonesia,Inferred,Recoverable,<USD 40/kgU,0
Indonesia,Inferred,Recoverable,<USD 80/kgU,0
Indonesia,Inferred,Recoverable,<USD 130/kgU,3000
Indonesia,Inferred,Recoverable,<USD 260/kgU,3000
Iran Islamic Rep of,RAR,in Situ,<USD 40/kgU,0
Iran Islamic Rep of,RAR,in Situ,<USD 80/kgU,0
Iran Islamic Rep of,RAR,in Situ,<USD 130/kgU,4300
Iran Islamic Rep of,RAR,in Situ,<USD 260/kgU,4300
Iran Islamic Rep of,RAR,Recoverable,<USD 40/kgU,0
Iran Islamic Rep of,RAR,Recoverable,<USD 80/kgU,0
Iran Islamic Rep of,RAR,Recoverable,<USD 130/kgU,3200
Iran Islamic Rep of,RAR,Recoverable,<USD 260/kgU,3200
Iran Islamic Rep of,Inferred,Recoverable,<USD 40/kgU,0
Iran Islamic Rep of,Inferred,Recoverable,<USD 80/kgU,0
Iran Islamic Rep of,Inferred,Recoverable,<USD 130/kgU,4200
Iran Islamic Rep of,Inferred,Recoverable,<USD 260/kgU,4200
Iran Islamic Rep of,Inferred,in Situ,<USD 40/kgU,0
Iran Islamic Rep of,Inferred,in Situ,<USD 80/kgU,0
Iran Islamic Rep of,Inferred,in Situ,<USD 130/kgU,5500
Iran Islamic Rep of,Inferred,in Situ,<USD 260/kgU,5500
Italy,RAR,in Situ,<USD 40/kgU,0
Italy,RAR,in Situ,<USD 80/kgU,6400
Italy,RAR,in Situ,<USD 130/kgU,6400
Italy,RAR,in Situ,<USD 260/kgU,6400
Italy,Inferred,Recoverable,<USD 40/kgU,0
Italy,Inferred,Recoverable,<USD 80/kgU,1300
Italy,Inferred,Recoverable,<USD 130/kgU,1300
Italy,Inferred,Recoverable,<USD 260/kgU,1300
Italy,Inferred,in Situ,<USD 40/kgU,0
Italy,Inferred,in Situ,<USD 80/kgU,1700
Italy,Inferred,in Situ,<USD 130/kgU,1700
Italy,Inferred,in Situ,<USD 260/kgU,1700
Italy,RAR,Recoverable,<USD 40/kgU,0
Italy,RAR,Recoverable,<USD 80/kgU,4800
Italy,RAR,Recoverable,<USD 130/kgU,4800
Italy,RAR,Recoverable,<USD 260/kgU,4800
Japan,RAR,in Situ,<USD 40/kgU,0
Japan,RAR,in Situ,<USD 80/kgU,0
Japan,RAR,in Situ,<USD 130/kgU,0
Japan,RAR,in Situ,<USD 260/kgU,0
Japan,RAR,Recoverable,<USD 40/kgU,0
Japan,RAR,Recoverable,<USD 80/kgU,0
Japan,RAR,Recoverable,<USD 130/kgU,6600
Japan,RAR,Recoverable,<USD 260/kgU,6600
Jordan,Inferred,in Situ,<USD 40/kgU,0
Jordan,Inferred,in Situ,<USD 80/kgU,0
Jordan,Inferred,in Situ,<USD 130/kgU,62000
Jordan,Inferred,in Situ,<USD 260/kgU,62000
Jordan,RAR,in Situ,<USD 40/kgU,0
Jordan,RAR,in Situ,<USD 80/kgU,0
Jordan,RAR,in Situ,<USD 130/kgU,62000
Jordan,RAR,in Situ,<USD 260/kgU,62000
Jordan,RAR,Recoverable,<USD 40/kgU,0
Jordan,RAR,Recoverable,<USD 80/kgU,0
Jordan,RAR,Recoverable,<USD 130/kgU,6000
Jordan,RAR,Recoverable,<USD 260/kgU,6000
Jordan,Inferred,Recoverable,<USD 40/kgU,0
Jordan,Inferred,Recoverable,<USD 80/kgU,0
Jordan,Inferred,Recoverable,<USD 130/kgU,46500
Jordan,Inferred,Recoverable,<USD 260/kgU,46500
Kazakhstan,Inferred,in Situ,<USD 40/kgU,280800
Kazakhstan,Inferred,in Situ,<USD 80/kgU,467400
Kazakhstan,Inferred,in Situ,<USD 130/kgU,504600
Kazakhstan,Inferred,in Situ,<USD 260/kgU,552600
Kazakhstan,RAR,Recoverable,<USD 40/kgU,252000
Kazakhstan,RAR,Recoverable,<USD 80/kgU,316400
Kazakhstan,RAR,Recoverable,<USD 130/kgU,367800
Kazakhstan,RAR,Recoverable,<USD 260/kgU,387400
Kazakhstan,Inferred,Recoverable,<USD 40/kgU,250000
Kazakhstan,Inferred,Recoverable,<USD 80/kgU,415700
Kazakhstan,Inferred,Recoverable,<USD 130/kgU,447500
Kazakhstan,Inferred,Recoverable,<USD 260/kgU,487300
Kazakhstan,RAR,in Situ,<USD 40/kgU,283100
Kazakhstan,RAR,in Situ,<USD 80/kgU,355700
Kazakhstan,RAR,in Situ,<USD 130/kgU,414700
Kazakhstan,RAR,in Situ,<USD 260/kgU,438800
Malawi,Inferred,in Situ,<USD 40/kgU,0
Malawi,Inferred,in Situ,<USD 80/kgU,0
Malawi,Inferred,in Situ,<USD 130/kgU,2300
Malawi,Inferred,in Situ,<USD 260/kgU,5600
Malawi,Inferred,Recoverable,<USD 40/kgU,0
Malawi,Inferred,Recoverable,<USD 80/kgU,0
Malawi,Inferred,Recoverable,<USD 130/kgU,1800
Malawi,Inferred,Recoverable,<USD 260/kgU,4300
Malawi,RAR,in Situ,<USD 40/kgU,0
Malawi,RAR,in Situ,<USD 80/kgU,0
Malawi,RAR,in Situ,<USD 130/kgU,9500
Malawi,RAR,in Situ,<USD 260/kgU,15700
Malawi,RAR,Recoverable,<USD 40/kgU,0
Malawi,RAR,Recoverable,<USD 80/kgU,0
Malawi,RAR,Recoverable,<USD 130/kgU,7700
Malawi,RAR,Recoverable,<USD 260/kgU,12000
Mali,Inferred,in Situ,<USD 40/kgU,0
Mali,Inferred,in Situ,<USD 80/kgU,0
